年度,試験名称,人数
2010/1/1,ITﾊﾟｽﾎﾟｰﾄ,59620 
2011/1/1,ITﾊﾟｽﾎﾟｰﾄ,53259 
2012/1/1,ITﾊﾟｽﾎﾟｰﾄ,56506 
2013/1/1,ITﾊﾟｽﾎﾟｰﾄ,25796 
2014/1/1,ITﾊﾟｽﾎﾟｰﾄ,32064 
2015/1/1,ITﾊﾟｽﾎﾟｰﾄ,34215 
2016/1/1,ITﾊﾟｽﾎﾟｰﾄ,34696 
2017/1/1,ITﾊﾟｽﾎﾟｰﾄ,37570 
2018/1/1,ITﾊﾟｽﾎﾟｰﾄ,42432 
2019/1/1,ITﾊﾟｽﾎﾟｰﾄ,49221 
2020/1/1,ITﾊﾟｽﾎﾟｰﾄ,56323 
2021/1/1,ITﾊﾟｽﾎﾟｰﾄ,77512 
2022/1/1,ITﾊﾟｽﾎﾟｰﾄ,111241 
2010/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,
2011/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,
2012/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,
2013/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,
2014/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,
2015/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,
2016/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,
2017/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,28905 
2018/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,19914 
2019/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,15146 
2020/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,13902 
2021/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,6071 
2022/1/1,情報ｾｷｭﾘﾃｨﾏﾈｼﾞﾒﾝﾄ,15325 
2010/1/1,基本情報技術者,45955 
2011/1/1,基本情報技術者,31618 
2012/1/1,基本情報技術者,30148 
2013/1/1,基本情報技術者,28424 
2014/1/1,基本情報技術者,22948 
2015/1/1,基本情報技術者,23953 
2016/1/1,基本情報技術者,26109 
2017/1/1,基本情報技術者,26591 
2018/1/1,基本情報技術者,23288 
2019/1/1,基本情報技術者,28552 
2020/1/1,基本情報技術者,31224 
2021/1/1,基本情報技術者,25499 
2022/1/1,基本情報技術者,34734 
2010/1/1,応用情報技術者,18457 
2011/1/1,応用情報技術者,18490 
2012/1/1,応用情報技術者,16357 
2013/1/1,応用情報技術者,15886 
2014/1/1,応用情報技術者,12716 
2015/1/1,応用情報技術者,12655 
2016/1/1,応用情報技術者,13519 
2017/1/1,応用情報技術者,13312 
2018/1/1,応用情報技術者,13659 
2019/1/1,応用情報技術者,14865 
2020/1/1,応用情報技術者,14160 
2021/1/1,応用情報技術者,6807 
2022/1/1,応用情報技術者,14006 
2010/1/1,支援士,5906 
2011/1/1,支援士,5804 
2012/1/1,支援士,5110 
2013/1/1,支援士,5407 
2014/1/1,支援士,5147 
2015/1/1,支援士,5071 
2016/1/1,支援士,5764 
2017/1/1,支援士,5992 
2018/1/1,支援士,5589 
2019/1/1,支援士,5414 
2020/1/1,支援士,5447 
2021/1/1,支援士,2253 
2022/1/1,支援士,4665 
